	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	133.6	120.0	21.5	2.4	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009999999999999998
2	109.4	125.0	24.6	3.5	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019999999999999997
3	90.9	128.6	27.1	4.3	0.0	0.3	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030000000000000006
4	80.3	130.2	29.5	4.2	0.0	0.3	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039999999999999994
5	70.3	129.3	32.7	4.7	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.049999999999999996
6	64.6	129.5	33.8	5.2	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.06000000000000001
7	58.4	129.9	35.2	5.5	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.07000000000000002
8	53.2	130.1	36.4	5.8	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.07999999999999999
9	48.4	129.7	37.6	6.3	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.08999999999999998
10	45.0	129.6	38.4	6.6	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.09999999999999999
11	42.3	128.0	39.9	6.7	0.0	0.4	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.10999999999999999
12	39.8	127.6	40.6	7.0	0.0	0.4	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.11999999999999997
13	37.8	126.9	41.2	7.4	0.0	0.4	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.12999999999999995
14	35.3	126.3	42.0	7.6	0.0	0.5	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.13999999999999996
15	33.5	125.1	42.8	7.9	0.0	0.5	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.14999999999999997
16	32.1	124.4	43.6	8.0	0.0	0.5	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.15999999999999998
17	30.5	124.3	43.7	8.1	0.0	0.6	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.16999999999999998
18	28.6	123.5	44.6	8.3	0.0	0.6	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.18
19	26.4	123.3	45.2	8.5	0.0	0.6	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.19
20	24.7	122.7	45.5	9.0	0.0	0.6	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2
21	23.0	122.4	46.0	9.2	0.0	0.6	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.21000000000000002
22	22.4	122.3	46.2	9.0	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.22000000000000003
23	20.9	121.7	47.1	9.0	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.23000000000000004
24	20.5	121.0	47.7	9.0	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.24000000000000007
25	18.8	120.3	48.6	9.1	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.25000000000000006
26	17.6	120.0	48.8	9.4	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2600000000000001
27	17.3	119.4	49.3	9.4	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2700000000000001
28	16.9	119.1	49.5	9.5	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.28000000000000014
29	16.2	118.8	49.8	9.6	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2900000000000001
30	15.1	117.8	50.7	9.7	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.30000000000000016
31	15.0	117.8	50.6	9.8	0.0	0.8	0.0	0.2	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3100000000000001
32	13.8	117.7	50.9	9.9	0.0	0.8	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3200000000000002
33	13.3	117.2	51.4	9.9	0.0	0.8	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3300000000000001
34	12.9	117.0	51.5	9.9	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3400000000000002
35	12.6	116.8	51.6	10.0	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.35000000000000014
36	12.0	116.5	52.0	10.0	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3600000000000002
37	11.7	116.3	52.1	10.1	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.37000000000000016
38	11.4	115.8	52.4	10.2	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3800000000000002
39	11.1	115.2	52.9	10.2	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3900000000000002
40	10.9	115.1	52.9	10.3	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.40000000000000024
41	10.6	114.9	53.0	10.4	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.41000000000000025
42	10.3	114.8	53.0	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.42000000000000026
43	9.8	114.9	53.1	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.43000000000000027
44	9.5	114.6	53.4	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4400000000000003
45	9.1	114.4	53.5	10.4	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4500000000000003
46	8.7	114.1	53.7	10.5	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.46000000000000024
47	8.3	113.7	54.1	10.5	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4700000000000003
48	8.1	113.6	54.1	10.6	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4800000000000003
